LOCAL;LINEA;DESCRIP.LINEA;SUBINEA;DESCRIP.SUBL;CLASE;DESCRIP.CLASE;SUBCLASE;DESCRIP.SUBCLASE;MARCA;NUMBER;UPC;DESCRIP.PRODUCTO;P.VTA;P.CST;STOCK DISPONIBLE;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110402;MONITORES                     ;J11040201;MONITOR LCD                   ;APPLE     ;16110043       ;0194253029915;APPLE STUDIO DISPLAY MK0Q3CI;+002139990,00;+001527984,00;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040301;IMPRESORA BASICA              ;EPSON     ;16764173       ;0010343970724;IMPRESORA EPSON L1250       ;+000179990,00;+000117640,00;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;14908684       ;0012502660569;MULTIFUNCIONAL BROTHER MFCT9;+000376990,00;+000252590,93;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;EPSON     ;15920818       ;0010343957985;MULTIFUNCIONAL EPSON L4260  ;+000299990,00;+000201646,51;-000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16730032       ;2000167300324;MULTIFUNCIONAL HP SMART TANK;+000249990,00;+000155869,63;+000000002,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16730032       ;0195908303046;MULTIFUNCIONAL HP SMART TANK;+000249990,00;+000155869,63;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16741964       ;0196548866816;MULTIFUNCIONAL HP SMART TANK;+000199990,00;+000116583,86;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16741964       ;2000167419644;MULTIFUNCIONAL HP SMART TANK;+000199990,00;+000116583,86;+000000024,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16893262       ;0196548866700;MULTIFUNCIONAL HP SMART TANK;+000159990,00;+000100826,80;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16893262       ;2000168932623;MULTIFUNCIONAL HP SMART TANK;+000159990,00;+000100826,80;-000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16893267       ;2000168932678;MULTIFUNCIONAL HP SMART TANK;+000374990,00;+000230632,58;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;16893267       ;0195908302919;MULTIFUNCIONAL HP SMART TANK;+000374990,00;+000230632,58;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;17031072       ;0195908303169;MULTIFUNCIONAL HP Smart Tank;+000319990,00;+000182604,06;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;17031072       ;2001703107209;MULTIFUNCIONAL HP Smart Tank;+000319990,00;+000182604,06;+000000024,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;17297262       ;0012502676850;MULTIFUNCIONAL BROTHER DCPT5;+000209990,00;+000139130,14;+000000018,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;17297263       ;0012502676867;MULTIFUNCIONAL BROTHER DCPT7;+000254990,00;+000171393,09;+000000014,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;CANON     ;17370387       ;0013803351651;MULTIFUNCIONAL CANON G-4170 ;+000239990,00;+000146905,70;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;17514975       ;2017514975005;DV_ MULTIFUNCIONAL BROTHER D;+000067400,00;+000169377,10;+000000001,00;
